09:58:45.524462 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3502580:3502744, ack 1873, win 501, length 164
09:58:45.551255 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3536188:3536352, ack 1873, win 501, length 164
09:58:45.551372 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3536352:3536516, ack 1873, win 501, length 164
09:58:45.551490 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3536516:3536680, ack 1873, win 501, length 164
09:58:45.551607 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3536680:3536844, ack 1873, win 501, length 164
09:58:45.551720 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3536844:3537008, ack 1873, win 501, length 164
09:58:45.551844 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3537008:3537172, ack 1873, win 501, length 164
09:58:45.551959 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3537172:3537336, ack 1873, win 501, length 164
09:58:45.552075 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3537336:3537500, ack 1873, win 501, length 164
09:58:45.552129 IP 99.238.40.163.58902 > 159.203.62.249.22: Flags [.], ack 3517748, win 1026, length 0
09:58:45.552129 IP 99.238.40.163.58902 > 159.203.62.249.22: Flags [.], ack 3519224, win 1026, length 0
09:58:45.552129 IP 99.238.40.163.58902 > 159.203.62.249.22: Flags [.], ack 3521072, win 1026, length 0
09:58:45.552129 IP 99.238.40.163.58902 > 159.203.62.249.22: Flags [.], ack 3521892, win 1023, length 0
09:58:45.552365 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3537500:3538080, ack 1873, win 501, length 580
09:58:45.552485 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3538080:3538244, ack 1873, win 501, length 164
09:58:45.552617 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3538244:3538408, ack 1873, win 501, length 164
09:58:45.552741 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3538408:3538572, ack 1873, win 501, length 164
09:58:45.552870 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3538572:3538736, ack 1873, win 501, length 164
09:58:45.552989 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3538736:3538900, ack 1873, win 501, length 164
09:58:45.553109 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3538900:3539064, ack 1873, win 501, length 164
09:58:45.553234 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3539064:3539228, ack 1873, win 501, length 164
09:58:45.553334 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3539228:3539392, ack 1873, win 501, length 164
09:58:45.553442 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3539392:3539556, ack 1873, win 501, length 164
09:58:45.553559 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3539556:3539720, ack 1873, win 501, length 164
09:58:45.553677 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3539720:3539884, ack 1873, win 501, length 164
09:58:45.553822 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3539884:3540048, ack 1873, win 501, length 164
09:58:45.553930 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3540048:3540212, ack 1873, win 501, length 164
09:58:45.554048 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3540212:3540376, ack 1873, win 501, length 164
09:58:45.554165 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3540376:3540540, ack 1873, win 501, length 164
09:58:45.554297 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3540540:3540704, ack 1873, win 501, length 164
09:58:45.554411 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3540704:3540868, ack 1873, win 501, length 164
09:58:45.554554 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3540868:3541032, ack 1873, win 501, length 164
09:58:45.554677 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3541032:3541196, ack 1873, win 501, length 164
09:58:45.554796 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3541196:3541360, ack 1873, win 501, length 164
09:58:45.554909 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3541360:3541524, ack 1873, win 501, length 164
09:58:45.555022 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3541524:3541688, ack 1873, win 501, length 164
09:58:45.555131 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3541688:3541852, ack 1873, win 501, length 164
09:58:45.555248 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3541852:3542016, ack 1873, win 501, length 164
09:58:45.555434 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3542016:3542180, ack 1873, win 501, length 164
09:58:45.555553 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3542180:3542344, ack 1873, win 501, length 164
09:58:45.555681 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3542344:3542508, ack 1873, win 501, length 164
09:58:45.555796 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3542508:3542672, ack 1873, win 501, length 164
09:58:45.555930 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3542672:3542836, ack 1873, win 501, length 164
09:58:45.556040 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3542836:3543000, ack 1873, win 501, length 164
09:58:45.556169 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3543000:3543164, ack 1873, win 501, length 164
09:58:45.556287 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3543164:3543328, ack 1873, win 501, length 164
09:58:45.556412 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3543328:3543492, ack 1873, win 501, length 164
09:58:45.556536 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3543492:3543656, ack 1873, win 501, length 164
09:58:45.556651 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3543656:3543820, ack 1873, win 501, length 164
09:58:45.556777 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3543820:3543984, ack 1873, win 501, length 164
09:58:45.556900 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3543984:3544148, ack 1873, win 501, length 164
09:58:45.557015 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3544148:3544312, ack 1873, win 501, length 164
09:58:45.557127 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3544312:3544476, ack 1873, win 501, length 164
09:58:45.557260 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3544476:3544640, ack 1873, win 501, length 164
09:58:45.557371 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3544640:3544804, ack 1873, win 501, length 164
09:58:45.557492 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3544804:3544968, ack 1873, win 501, length 164
09:58:45.557609 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3544968:3545132, ack 1873, win 501, length 164
09:58:45.557728 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3545132:3545296, ack 1873, win 501, length 164
09:58:45.557869 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3545296:3545460, ack 1873, win 501, length 164
09:58:45.557994 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3545460:3545624, ack 1873, win 501, length 164
09:58:45.558112 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3545624:3545788, ack 1873, win 501, length 164
09:58:45.558230 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3545788:3545952, ack 1873, win 501, length 164
09:58:45.558334 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3545952:3546116, ack 1873, win 501, length 164
09:58:45.558447 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3546116:3546280, ack 1873, win 501, length 164
09:58:45.558585 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3546280:3546444, ack 1873, win 501, length 164
09:58:45.558717 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3546444:3546608, ack 1873, win 501, length 164
09:58:45.558844 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3546608:3546772, ack 1873, win 501, length 164
09:58:45.558953 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3546772:3546936, ack 1873, win 501, length 164
09:58:45.559071 IP 159.203.62.249.22 > 99.238.40.163.58902: Flags [P.], seq 3546936:3547100, ack 1873, win 501, length 164
09:58:45.559170 IP 99.238.40.163.58902 > 159.203.62.249.22: Flags [P.], seq 1873:1909, ack 3521892, win 1023, length 36
09:58:45.559170 IP 99.238.40.163.58902 > 159.203.62.249.22: Flags [.], ack 3527796, win 1026, length 0
